Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-12-05,21:28:15,"""CNR2063814""",Incomplete,"""CID8793399""",Go Sedan,Kalkaji,Munirka,4.5,17.4,,,,,1.0,Customer Demand,492.0,4.42,,,UPI
2024-11-03,14:56:23,"""CNR9640949""",Completed,"""CID4579340""",Auto,Sarai Kale Khan,Panchsheel Park,3.1,33.9,,,,,,,744.0,15.09,3.9,3.9,Cash
2024-08-22,09:47:33,"""CNR7870317""",Completed,"""CID6209020""",eBike,Samaypur Badli,Khan Market,10.9,26.3,,,,,,,402.0,35.18,4.3,3.8,Debit Card
2024-12-10,21:57:29,"""CNR9633500""",Completed,"""CID3530034""",eBike,Shahdara,Kaushambi,4.2,17.3,,,,,,,491.0,45.94,4.8,4.7,UPI
2024-04-22,08:43:46,"""CNR9099087""",Incomplete,"""CID3828949""",Go Sedan,Noida Film City,Kadarpur,9.6,22.8,,,,,1.0,Vehicle Breakdown,998.0,10.29,,,Debit Card
2024-11-05,10:46:24,"""CNR5211622""",Incomplete,"""CID7614830""",Go Mini,Maidan Garhi,Kadarpur,8.3,17.6,,,,,1.0,Customer Demand,475.0,3.77,,,UPI
2024-02-23,16:04:50,"""CNR7846018""",Completed,"""CID4874240""",Go Sedan,Anand Vihar ISBT,Kashmere Gate ISBT,6.2,41.1,,,,,,,178.0,44.97,4.3,4.9,UPI
2024-04-06,19:14:45,"""CNR1888045""",Cancelled by Driver,"""CID4827961""",Go Sedan,Badarpur,South Extension,10.3,,,,1.0,The customer was coughing/sick,,,,,,,
2024-01-15,22:27:59,"""CNR8800243""",Completed,"""CID4424320""",Auto,Adarsh Nagar,Paharganj,11.6,40.9,,,,,,,354.0,5.14,4.2,4.8,UPI
2024-09-12,07:05:37,"""CNR5389773""",Completed,"""CID3260888""",Bike,Shahdara,Raj Nagar Extension,3.7,37.6,,,,,,,378.0,29.59,3.4,4.6,Uber Wallet
2024-03-20,08:25:06,"""CNR4167845""",Cancelled by Driver,"""CID5137751""",Auto,Kalkaji,Nehru Place,8.4,,,,1.0,The customer was coughing/sick,,,,,,,
2024-06-25,15:19:53,"""CNR7147907""",Completed,"""CID4852766""",Auto,IGI Airport,Peeragarhi,9.6,21.6,,,,,,,426.0,7.75,4.1,4.2,Cash
2024-06-25,19:58:34,"""CNR2610091""",Cancelled by Driver,"""CID6010523""",Auto,Gwal Pahari,Saidulajab,11.8,,,,1.0,Customer related issue,,,,,,,
2024-03-23,16:24:51,"""CNR2841005""",Completed,"""CID8752031""",Auto,Sarojini Nagar,Indirapuram,12.8,36.9,,,,,,,516.0,9.34,3.8,4.1,Cash
2024-11-05,05:22:07,"""CNR7166737""",Completed,"""CID2607874""",Go Mini,Model Town,Aya Nagar,2.6,24.5,,,,,,,98.0,20.07,3.8,4.8,Uber Wallet
2024-08-16,21:42:58,"""CNR3803395""",Cancelled by Driver,"""CID5386370""",Premier Sedan,Hauz Khas,Anand Vihar ISBT,10.5,,,,1.0,Personal & Car related issues,,,,,,,
2024-01-04,10:21:36,"""CNR1470974""",Completed,"""CID4622805""",Auto,Nawada,Chandni Chowk,7.2,31.7,,,,,,,435.0,20.63,4.2,4.5,UPI
2024-06-05,20:39:38,"""CNR4673899""",Completed,"""CID8269840""",Bike,Kashmere Gate ISBT,Tilak Nagar,8.4,16.7,,,,,,,626.0,44.36,4.2,4.2,Cash
2024-11-06,16:22:19,"""CNR6244018""",Completed,"""CID1955256""",Go Mini,Chirag Delhi,Mansarovar Park,6.1,21.6,,,,,,,709.0,42.79,4.2,4.9,Cash
2024-03-26,14:14:50,"""CNR7707740""",Completed,"""CID2436093""",Go Mini,DLF City Court,Khan Market,6.6,34.1,,,,,,,243.0,27.67,4.1,5.0,UPI
2024-05-11,09:53:01,"""CNR2621749""",No Driver Found,"""CID3265065""",eBike,Mayur Vihar,IIT Delhi,,,,,,,,,,,,,
2024-08-11,06:33:18,"""CNR9639112""",Cancelled by Driver,"""CID3063483""",Go Mini,Ashok Park Main,DLF City Court,11.0,,,,1.0,Customer related issue,,,,,,,
2024-06-26,07:08:44,"""CNR1083609""",Completed,"""CID6757547""",Go Mini,Basai Dhankot,Sikanderpur,7.1,29.6,,,,,,,369.0,46.28,4.4,4.5,Cash
2024-11-21,19:50:31,"""CNR8969590""",Completed,"""CID3171178""",Auto,Green Park,GTB Nagar,14.1,29.8,,,,,,,789.0,22.18,3.8,4.7,UPI
2024-07-18,05:21:00,"""CNR3639561""",Completed,"""CID6660614""",Bike,Anand Vihar,DLF City Court,6.1,42.2,,,,,,,130.0,41.63,3.6,3.7,UPI
2024-07-15,11:32:43,"""CNR3397738""",No Driver Found,"""CID9172046""",Auto,Nehru Place,Model Town,,,,,,,,,,,,,
2024-05-09,20:15:58,"""CNR6728666""",Completed,"""CID1515016""",Premier Sedan,Sushant Lok,Arjangarh,12.1,23.8,,,,,,,930.0,48.44,4.4,4.8,Uber Wallet
2024-05-22,10:00:12,"""CNR2532613""",Incomplete,"""CID6396057""",Auto,Patel Chowk,Dwarka Mor,3.6,27.0,,,,,1.0,Other Issue,932.0,13.38,,,Credit Card
2024-04-30,18:39:58,"""CNR7457614""",Completed,"""CID6699254""",Go Mini,Mayur Vihar,Qutub Minar,10.1,42.4,,,,,,,256.0,15.12,4.6,4.6,UPI
2024-03-05,18:17:55,"""CNR2410545""",Cancelled by Customer,"""CID2484864""",Auto,Ambience Mall,DLF City Court,17.2,,1.0,Change of plans,,,,,,,,,
2024-10-11,16:04:19,"""CNR8509922""",Cancelled by Customer,"""CID4536955""",Auto,Sultanpur,Old Gurgaon,6.3,,1.0,Driver is not moving towards pickup location,,,,,,,,,
2024-09-29,08:20:09,"""CNR7472651""",Completed,"""CID5129504""",Go Mini,Jhilmil,Ghaziabad,6.2,29.4,,,,,,,623.0,16.97,3.7,4.9,UPI
2024-02-26,23:02:25,"""CNR5033030""",Completed,"""CID6146427""",Go Mini,Udyog Vihar Phase 4,Rajiv Nagar,10.9,16.1,,,,,,,449.0,10.36,4.8,4.6,Credit Card
2024-11-11,20:25:43,"""CNR9004692""",Incomplete,"""CID4187418""",Go Mini,Ambience Mall,Chirag Delhi,3.7,12.3,,,,,1.0,Customer Demand,152.0,5.67,,,UPI
2024-05-22,11:25:38,"""CNR5234772""",Cancelled by Customer,"""CID9902693""",Go Mini,Chhatarpur,Bhiwadi,16.0,,1.0,Change of plans,,,,,,,,,
2024-10-02,09:48:01,"""CNR5024822""",Cancelled by Driver,"""CID3275466""",eBike,Moti Nagar,Ashok Vihar,11.4,,,,1.0,The customer was coughing/sick,,,,,,,
2024-05-18,19:51:06,"""CNR7399325""",No Driver Found,"""CID7418391""",Bike,Dwarka Mor,Karkarduma,,,,,,,,,,,,,
2024-10-26,23:50:24,"""CNR2666106""",Cancelled by Driver,"""CID5347336""",Uber XL,Peeragarhi,Green Park,8.8,,,,1.0,Customer related issue,,,,,,,
2024-08-04,18:07:11,"""CNR3988622""",Completed,"""CID3974055""",Auto,Azadpur,Mayur Vihar,4.9,19.7,,,,,,,1482.0,7.32,3.2,4.2,Credit Card
2024-10-25,16:07:29,"""CNR7865430""",Cancelled by Customer,"""CID1618684""",Uber XL,Mayur Vihar,Nawada,8.2,,1.0,Wrong Address,,,,,,,,,
2024-02-08,23:01:51,"""CNR5154403""",Incomplete,"""CID7586315""",Go Sedan,Rohini West,Udyog Vihar Phase 4,3.5,25.6,,,,,1.0,Vehicle Breakdown,604.0,6.36,,,Cash
2024-12-21,14:16:24,"""CNR9524961""",Completed,"""CID3126351""",Auto,INA Market,Pragati Maidan,13.1,20.2,,,,,,,1199.0,44.53,3.2,4.3,Cash
